example_id                                           | status | run_time        |
---------------------------------------------------- | ------ | --------------- |
./spec/model/comments_spec.rb[1:1]                   | passed | 0.00627 seconds |
./spec/model/likes_spec.rb[1:1]                      | passed | 0.00862 seconds |
./spec/model/post_spec.rb[1:1]                       | passed | 0.00296 seconds |
./spec/model/post_spec.rb[1:2]                       | passed | 0.00289 seconds |
./spec/model/post_spec.rb[1:3]                       | passed | 0.00291 seconds |
./spec/model/post_spec.rb[1:4]                       | passed | 0.00384 seconds |
./spec/model/user_spec.rb[1:1]                       | passed | 0.00531 seconds |
./spec/model/user_spec.rb[1:2]                       | passed | 0.01958 seconds |
./spec/requests/posts/posts_spec.rb[1:1:1]           | failed | 0.00443 seconds |
./spec/requests/posts/posts_spec.rb[1:1:2]           | failed | 0.0084 seconds  |
./spec/requests/users/users_spec.rb[1:1:1]           | passed | 0.47634 seconds |
./spec/requests/users/users_spec.rb[1:1:2]           | passed | 0.02481 seconds |
./spec/view-testing/posts/post_index_spec.rb[1:1:1]  | passed | 0.08582 seconds |
./spec/view-testing/posts/post_index_spec.rb[1:1:2]  | passed | 0.07112 seconds |
./spec/view-testing/posts/post_index_spec.rb[1:1:3]  | passed | 0.17488 seconds |
./spec/view-testing/posts/post_index_spec.rb[1:1:4]  | passed | 0.09859 seconds |
./spec/view-testing/posts/post_index_spec.rb[1:1:5]  | passed | 0.08372 seconds |
./spec/view-testing/posts/post_index_spec.rb[1:1:6]  | passed | 0.08717 seconds |
./spec/view-testing/posts/post_index_spec.rb[1:1:7]  | passed | 0.07414 seconds |
./spec/view-testing/posts/post_index_spec.rb[1:1:8]  | passed | 0.09889 seconds |
./spec/view-testing/posts/post_index_spec.rb[1:1:9]  | passed | 0.08283 seconds |
./spec/view-testing/posts/post_index_spec.rb[1:1:10] | passed | 0.12669 seconds |
./spec/view-testing/posts/post_show_spec.rb[1:1:1]   | passed | 0.09431 seconds |
./spec/view-testing/posts/post_show_spec.rb[1:1:2]   | passed | 0.07328 seconds |
./spec/view-testing/posts/post_show_spec.rb[1:1:3]   | passed | 0.07547 seconds |
./spec/view-testing/posts/post_show_spec.rb[1:1:4]   | passed | 0.09289 seconds |
./spec/view-testing/posts/post_show_spec.rb[1:1:5]   | passed | 0.11609 seconds |
./spec/view-testing/posts/post_show_spec.rb[1:1:6]   | passed | 0.08399 seconds |
./spec/view-testing/posts/post_show_spec.rb[1:1:7]   | passed | 0.0743 seconds  |
./spec/view-testing/users/index_page_spec.rb[1:1:1]  | passed | 0.03982 seconds |
./spec/view-testing/users/index_page_spec.rb[1:1:2]  | passed | 0.03355 seconds |
./spec/view-testing/users/index_page_spec.rb[1:1:3]  | passed | 0.04717 seconds |
./spec/view-testing/users/index_page_spec.rb[1:1:4]  | passed | 0.07808 seconds |
./spec/view-testing/users/show_page_spec.rb[1:1:1]   | passed | 0.10307 seconds |
./spec/view-testing/users/show_page_spec.rb[1:1:2]   | passed | 0.10166 seconds |
./spec/view-testing/users/show_page_spec.rb[1:1:3]   | passed | 0.10282 seconds |
./spec/view-testing/users/show_page_spec.rb[1:1:4]   | passed | 0.08329 seconds |
./spec/view-testing/users/show_page_spec.rb[1:1:5]   | passed | 0.09758 seconds |
./spec/view-testing/users/show_page_spec.rb[1:1:6]   | passed | 0.10388 seconds |
./spec/view-testing/users/show_page_spec.rb[1:1:7]   | passed | 0.1852 seconds  |
./spec/view-testing/users/show_page_spec.rb[1:1:8]   | passed | 0.65949 seconds |
